"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","129.92","131.53","132.04","129.57","15.90M","-1.95%"
"03/26/2026","132.50","135.18","135.52","132.42","15.43M","-3.11%"
"03/25/2026","136.76","137.29","137.99","136.28","13.87M","0.45%"
"03/24/2026","136.15","136.05","136.92","134.87","16.84M","-0.58%"
"03/23/2026","136.95","137.50","139.20","136.22","21.82M","1.23%"
"03/20/2026","135.29","137.98","137.98","134.32","27.25M","-2.27%"
"03/19/2026","138.43","136.00","139.17","135.44","18.09M","0.34%"
"03/18/2026","137.96","139.31","140.07","137.93","12.63M","-1.13%"
"03/17/2026","139.54","139.39","140.27","138.93","12.03M","0.55%"
"03/16/2026","138.78","138.72","140.08","138.52","16.63M","1.45%"
"03/13/2026","136.80","138.45","139.71","136.51","15.70M","-0.75%"
"03/12/2026","137.84","139.27","139.74","137.65","32.37M","-1.84%"
"03/11/2026","140.43","140.58","141.59","139.52","14.02M","0.48%"
"03/10/2026","139.76","139.84","141.39","139.02","24.34M","0.00%"
"03/09/2026","139.76","135.97","140.21","135.46","22.76M","1.80%"
"03/06/2026","137.29","137.82","139.83","136.79","19.68M","-2.06%"
"03/05/2026","140.18","139.16","141.26","138.09","19.42M","0.24%"
"03/04/2026","139.84","138.53","140.63","138.04","15.20M","1.70%"
"03/03/2026","137.50","136.35","138.33","134.99","34.15M","-1.46%"
"03/02/2026","139.54","137.03","139.96","136.56","20.16M","0.56%"
"02/27/2026","138.76","138.31","139.76","137.94","15.33M","-1.60%"
"02/26/2026","141.01","142.94","143.01","139.26","19.36M","-1.40%"
"02/25/2026","143.01","141.36","143.34","141.21","13.30M","1.92%"
"02/24/2026","140.32","139.24","140.94","138.19","13.03M","1.30%"
"02/23/2026","138.52","140.18","140.65","137.89","22.02M","-1.68%"
"02/20/2026","140.88","139.20","141.75","138.97","14.94M","0.48%"
"02/19/2026","140.21","140.09","140.71","139.27","13.48M","-0.50%"
"02/18/2026","140.91","140.05","142.12","139.27","13.71M","1.03%"
"02/17/2026","139.48","138.64","140.45","137.02","25.74M","-0.06%"
